currencyCodeA,currencyCodeB,date,rateBuy,rateSell,rateCross
840,980,1667599809,36.65,37.4406,
978,980,1667625009,36.15,37.4406,
978,840,1667625009,0.979,0.999,
826,980,1667678132,,,42.4553
392,980,1667675967,,,0.2555
756,980,1667678125,,,37.724
156,980,1667677948,,,5.1716
784,980,1667678122,,,10.184
971,980,1663425223,,,0.4252
8,980,1667677826,,,0.317
51,980,1667677474,,,0.0958
973,980,1667661085,,,0.0775
32,980,1667678024,,,0.2372
36,980,1667675674,,,24.1587
944,980,1667676636,,,22.0713
50,980,1667669816,,,0.3681
975,980,1667678104,,,18.9899
48,980,1667653120,,,99.5504
108,980,1538606522,,,0.0158
96,980,1665874173,,,26.718
68,980,1667615723,,,5.4506
986,980,1667677886,,,7.455
72,980,1666602084,,,2.7897
933,980,1667648157,,,15.0173
124,980,1667678115,,,27.7987
976,980,1655462332,,,0.0163
152,980,1667664843,,,0.0402
170,980,1667675945,,,0.0074
188,980,1667678101,,,0.06
192,980,1667599809,,,1.5237
203,980,1667678135,,,1.5245
262,980,1667666208,,,0.2108
208,980,1667678104,,,5.0185
12,980,1667662145,,,0.2671
818,980,1667677848,,,1.5462
230,980,1667586984,,,0.7025
981,980,1667678135,,,13.8531
936,980,1667678066,,,2.6582
270,980,1667559538,,,0.6405
324,980,1664815293,,,0.0044
344,980,1667662761,,,4.7689
191,980,1667678003,,,4.9414
348,980,1667678135,,,0.0923
360,980,1667677950,,,0.0023
376,980,1667678069,,,10.6081
356,980,1667677893,,,0.4565
368,980,1667658250,,,0.0256
364,980,1667599809,,,0.0009
352,980,1667677827,,,0.2539
400,980,1667666660,,,52.8243
404,980,1667669064,,,0.3086
417,980,1667662065,,,0.4457
116,980,1667654355,,,0.009
408,980,1667599809,,,16.6221
410,980,1667677824,,,0.0266
414,980,1667664963,,,120.745
398,980,1667677868,,,0.0806
418,980,1664596798,,,0.0022
422,980,1667519710,,,0.0012
144,980,1667677925,,,0.1028
434,980,1648958626,,,6.4735
504,980,1667655044,,,3.3998
498,980,1667678092,,,1.9419
969,980,1663928324,,,0.0089
807,980,1667678124,,,0.5995
496,980,1667654246,,,0.011
478,980,1667599809,,,0.0968
480,980,1667664031,,,0.8444
454,980,1633949773,,,0.0325
484,980,1667677975,,,1.9248
458,980,1667672646,,,7.9003
943,980,1667648305,,,0.592
516,980,1667660105,,,2.0886
566,980,1667666822,,,0.0844
558,980,1667670699,,,1.0411
578,980,1667678111,,,3.6413
524,980,1667662065,,,0.2838
554,980,1667657967,,,22.0973
512,980,1667673386,,,97.3476
604,980,1667670965,,,9.4926
608,980,1667676432,,,0.6403
586,980,1667677770,,,0.1688
985,980,1667678136,,,7.9621
600,980,1667670239,,,0.0051
634,980,1667676129,,,10.2836
946,980,1667678130,,,7.6112
941,980,1667678114,,,0.3162
682,980,1667675797,,,9.97
690,980,1667671661,,,2.6481
938,980,1667599809,,,0.0633
752,980,1667678107,,,3.4281
702,980,1667677639,,,26.6812
694,980,1664217991,,,0.0024
706,980,1667599809,,,0.0647
968,980,1659795594,,,1.5023
760,980,1667599809,,,0.0121
748,980,1661589219,,,2.2455
764,980,1667677670,,,1.0034
972,980,1667667407,,,3.6658
795,980,1667599809,,,0.0021
788,980,1667662575,,,11.6185
949,980,1667678132,,,2.0331
901,980,1667666642,,,1.1703
834,980,1667674462,,,0.0163
800,980,1667656624,,,0.0099
858,980,1667660101,,,0.9388
860,980,1667677291,,,0.0033
937,980,1667599809,,,4.1777
704,980,1667677067,,,0.0015
950,980,1667650402,,,0.0569
952,980,1667675777,,,0.0568
886,980,1543715495,,,0.112
710,980,1667677785,,,2.0817
894,980,1667599809,,,0.0023
